"ensembl_gene_id"	"hgnc_symbol"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000000003"	"TSPAN6"	0.0649842241603293	3.19608370491677	0.158943716569106	0.785584247641699	0.999984409927665
"ENSG00000000419"	"DPM1"	-0.0706909955551878	4.46198149905486	0.788798289136777	0.6286923517762	0.999984409927665
"ENSG00000000457"	"SCYL3"	0.171805421936442	4.3256541112069	7.83206460210389	0.253309398106481	0.999984409927665
"ENSG00000000460"	"C1orf112"	0.116421143480253	3.15206404608553	1.24177979610578	0.630868429043985	0.999984409927665
"ENSG00000000938"	"FGR"	-0.144800557224422	2.42346409319908	0.263325416083291	0.678708158220905	0.999984409927665
"ENSG00000000971"	"CFH"	-0.759715671111501	4.6231442290518	1.73565139177124	0.199559728211858	0.999984409927665
"ENSG00000001036"	"FUCA2"	0.0298087952659341	3.62325502983571	0.0477208719698386	0.881891761198238	0.999984409927665
"ENSG00000001084"	"GCLC"	0.173616306479637	5.71534530557372	2.70910479692431	0.112210436228785	0.999984409927665
"ENSG00000001167"	"NFYA"	0.101720034775506	5.05378834212686	1.14853910850917	0.381353959251755	0.999984409927665
"ENSG00000001460"	"STPG1"	-0.0297898580441732	4.3443046933466	0.132840105321785	0.845629921965275	0.999984409927665
"ENSG00000001461"	"NIPAL3"	0.0101066437091933	7.16584861116237	0.00628957532760119	0.937415824759335	0.999984409927665
"ENSG00000001497"	"LAS1L"	-0.0673012134883524	5.83048224629442	0.87844695878747	0.449402074588771	0.999984409927665
"ENSG00000001561"	"ENPP4"	0.123007240944712	5.95992474656596	1.08900117928106	0.306613726984859	0.999984409927665
"ENSG00000001617"	"SEMA3F"	0.308437292200867	2.64104069537959	1.48622258837804	0.305307028210497	0.999984409927665
"ENSG00000001629"	"ANKIB1"	0.045279752318136	6.92478944596625	0.195017175623989	0.662544506695123	0.999984409927665
"ENSG00000001630"	"CYP51A1"	-0.176862617779818	2.52157628517381	1.98229705418414	0.596059036587995	0.999984409927665
"ENSG00000001631"	"KRIT1"	0.0229526160626442	5.94936246921408	0.220014168772182	0.78760805601713	0.999984409927665
"ENSG00000002016"	"RAD52"	-0.0671071106538102	4.45724679079196	0.509361286237609	0.645455667965997	0.999984409927665
"ENSG00000002330"	"BAD"	-0.114493681928704	4.36521926419846	2.0439238517242	0.452448984042971	0.999984409927665
"ENSG00000002549"	"LAP3"	0.111745893050977	4.77551372370738	1.46900713130951	0.383316932452789	0.999984409927665
"ENSG00000002586"	"CD99"	0.203419202333632	4.21998380991536	0.873616056627441	0.358838553943256	0.999984409927665
"ENSG00000002587"	"HS3ST1"	-0.159726411969262	3.40448640489995	1.14670964393583	0.475025993915895	0.999984409927665
"ENSG00000002745"	"WNT16"	-0.364560662915826	1.94334108221643	0.722016310338684	0.437936640249481	0.999984409927665
"ENSG00000002746"	"HECW1"	-0.105689247496931	7.63981481259691	2.31521169469802	0.140580577974803	0.999984409927665
"ENSG00000002822"	"MAD1L1"	-0.10421345135302	4.21915206907218	1.28406811392173	0.516905202533125	0.999984409927665
"ENSG00000002834"	"LASP1"	-0.0174283814637407	6.70327092626888	0.144182176595181	0.792705485966394	0.999984409927665
"ENSG00000002919"	"SNX11"	0.065743022801348	4.07785956442036	0.80268536229661	0.694009225680513	0.999984409927665
"ENSG00000002933"	"TMEM176A"	0.432228652659809	2.21527662440885	2.41998103357184	0.244671375856396	0.999984409927665
"ENSG00000003056"	"M6PR"	0.0578715768337372	5.41169181761034	1.9016203543149	0.569442041046453	0.999984409927665
"ENSG00000003096"	"KLHL13"	0.160185644155917	3.24445479221967	2.14314907721542	0.489801780877797	0.999984409927665
"ENSG00000003137"	"CYP26B1"	-0.467283162197535	4.92263743521567	4.9257036493534	0.0356989205150553	0.999984409927665
"ENSG00000003147"	"ICA1"	-0.0936464155586709	5.93918456206422	1.40528372560783	0.278556229410288	0.999984409927665
"ENSG00000003249"	"DBNDD1"	-0.136394150105829	5.24670362829805	1.07562471606702	0.309541348156777	0.999984409927665
"ENSG00000003393"	"ALS2"	0.0269927901007833	6.89056475384325	0.23076926668743	0.657495539919816	0.999984409927665
"ENSG00000003400"	"CASP10"	-0.13261709574104	2.96180764272865	0.792254675051918	0.62311005054169	0.999984409927665
"ENSG00000003402"	"CFLAR"	0.131108293958838	6.15027635851915	1.48570862797791	0.234185957157699	0.999984409927665
"ENSG00000003436"	"TFPI"	-0.19238188984072	2.67361623203182	0.483803179443368	0.535230796510966	0.999984409927665
"ENSG00000003509"	"NDUFAF7"	0.0698550534057226	4.85725426770509	2.31471385927221	0.57393865749484	0.999984409927665
"ENSG00000003756"	"RBM5"	0.0369172024481914	7.14997746934022	0.602355159153685	0.512834330358172	0.999984409927665
"ENSG00000003987"	"MTMR7"	0.0299726058942085	6.04295724605099	0.133503288695735	0.717880057168131	0.999984409927665
"ENSG00000003989"	"SLC7A2"	-0.0204652649361023	4.88548850270576	0.00184901520616586	0.966040750593729	0.999984409927665
"ENSG00000004059"	"ARF5"	-0.0558104927529541	5.00057934477937	0.504964447682983	0.641841310230998	0.999984409927665
"ENSG00000004139"	"SARM1"	0.00017944574619633	5.25207556340291	5.62814127701202e-06	0.998125829722179	0.999984409927665
"ENSG00000004142"	"POLDIP2"	-0.0523670659611293	5.54595953488674	0.915185600768016	0.595916505161163	0.999984409927665
"ENSG00000004399"	"PLXND1"	0.0065168839265998	6.21718913833705	0.00441787735208311	0.947531162971574	0.999984409927665
